,reviews,rates,reviews_spl,lemmas
0,"Это просто рай для мальчишек! Можно переодеться в пожарного и тушить пожар настоящей водой, можно - в строителя и управлять краном, можно кататься на электромобилях и с горки в сухой бассейн. И ещё интересные воздушные лабиринты для шариков. Билет на 1 час - 400р, безлимитно -</span><span class=""_1M-1YYJt""> 600р (это в будни, в выходные - ровно в 2 раза дороже)</span><span>&hellip;",5,Это просто рай для мальчишек  Можно переодеться в пожарного и тушить пожар настоящей водой можно - в строителя и управлять краном можно кататься на электромобилях и с горки в сухой бассейн  И ещё интересные воздушные лабиринты для шариков ,это просто рай для мальчишка можно переодеваться в пожарный и тушить пожар настоящий вода можно - в строитель и управлять кран можно кататься на электромобиль и с горка в сухой бассейн и еще интересный воздушный лабиринт для шарик
1,"Торговый центр Авиапарк является единственным ТЦ, который я посещаю на постоянной основе. Огромное количество магазинов (H&amp;M + home, ZARA + home, MOHITO, HOUSE, Киаби, ZARINA, Body Shop, Тони Молли, Mixit, Zaka, Ашан, Икеа, Оби и др.). Большое пространство, есть где развернуться</span><span class=""_1M-1YYJt""> даже в толпе людей в субботу вечером. Также ТЦ регулярно проводит различные мероприятия, праздники, конкурсы. Невероятных размеров аквариум в центре с экзотическими рыбками. Кто на машине, удобная большая двухэтажная парковка с множеством заездов в сам ТЦ и выездов соответственно. Кто своим ходом, метро ЦСКА находится в шаговой доступности от Авиапарка (1-2 минуты ходьбы). Персонал предельно вежливый, всегда все подскажет, поможет. Охрана никогда не вызывала никаких вопросов или негативной реакции.  Главное - соблюдать правила, и посещение ТЦ принесёт одно удовольствие.  </span><span>&hellip;",5,Торговый центр Авиапарк является единственным ТЦ который я посещаю на постоянной основе  Огромное количество магазинов H&amp;M + home ZARA + home MOHITO HOUSE Киаби ZARINA Body Shop Тони Молли Mixit Zaka Ашан Икеа Оби и др    Большое пространство есть где развернуться  даже в толпе людей в субботу вечером  Также ТЦ регулярно проводит различные мероприятия праздники конкурсы  Невероятных размеров аквариум в центре с экзотическими рыбками  Кто на машине удобная большая двухэтажная парковка с множеством заездов в сам ТЦ и выездов соответственно  Кто своим ходом метро ЦСКА находится в шаговой доступности от Авиапарка 1-2 минуты ходьбы  Персонал предельно вежливый всегда все подскажет поможет  Охрана никогда не вызывала никаких вопросов или негативной реакции  Главное - соблюдать правила и посещение ТЦ принесёт одно удовольствие ,торговый центр авиапарк являться единственный тц который я посещать на постоянный основа огромный количество магазин H & amp ; M + home ZARA + home MOHITO HOUSE киаби ZARINA Body Shop тони молль Mixit Zaka ашан икеа обь и др большой пространство быть где развертываться даже в толпа человек в суббота вечер также тц регулярно провожать различный мероприятие праздник конкурс невероятный размер аквариум в центр с экзотический рыбка кто на машина удобный большой двухэтажный парковка с множество заезд в сам тц и выезд соответственно кто свой ход метро цска находиться в шаговый доступность от авиапарк 1 - 2 минута ходьба персонал предельно вежливый всегда все подсказывать помогать охрана никогда не вызывать никакой вопрос или негативный реакция главный - соблюдать правило и посещение тц приносить один удовольствие
2,"Так уж сложилось, что недавно пришлось почти ежедневно посещать этот ТЦ, так что оценил его по достоинству - и по размеру, и по набору торговых точек. Действительно, Авиапарку нет равных в богатой на ТЦ Москве. Кроме обычных сетевых магазинов с товарами на любой вкус (отмечу</span><span class=""_1M-1YYJt""> Bikkembergs, Cacharel, CK jeans, Gap, Geox, Kangol, Lacoste, Massimo Dutti, New Balance, Piquadro, Uniclo) тут есть большой 2-х уровневый Obi (для тех, кто делает ремонт), Ikea, Hoff (мебель и кухни), Stockmann, Decathlon, М.Видео, Эльдорадо, Спортмастер, гипермаркет Ашан. Если устали от шоппинга, то можно найти разнообразную еду на большом фуд-корте. Даже каток тут есть и приличных размеров. Парковка на 2-х уровнях, просторная, но платная, в будни стоимость символическая. Рекомендую. И советую обратить внимание на колонну-аквариум в центральном атриуме, очень креативно (напротив входа в Стокманн).</span><span>&hellip;",1,Так уж сложилось что недавно пришлось почти ежедневно посещать этот ТЦ так что оценил его по достоинству - и по размеру и по набору торговых точек  Действительно Авиапарку нет равных в богатой на ТЦ Москве  Кроме обычных сетевых магазинов с товарами на любой вкус отмечу  Bikkembergs Cacharel CK jeans Gap Geox Kangol Lacoste Massimo Dutti New Balance Piquadro Uniclo тут есть большой 2-х уровневый Obi для тех кто делает ремонт Ikea Hoff мебель и кухни Stockmann Decathlon М  Видео Эльдорадо Спортмастер гипермаркет Ашан  Если устали от шоппинга то можно найти разнообразную еду на большом фуд-корте  Даже каток тут есть и приличных размеров  Парковка на 2-х уровнях просторная но платная в будни стоимость символическая  Рекомендую  И советую обратить внимание на колонну-аквариум в центральном атриуме очень креативно напротив входа в Стокманн ,так уж складываться что недавно приходиться почти ежедневно посещать этот тц так что оценивать он по достоинство - и по размер и по набор торговый точка действительно авиапарк нет равный в богатый на тц москва кроме обычный сетевой магазин с товар на любой вкус отмечать Bikkembergs Cacharel CK jeans Gap Geox Kangol Lacoste Massimo Dutti New Balance Piquadro Uniclo тут быть большой 2 - х уровневый Obi для тот кто делать ремонт Ikea Hoff мебель и кухня Stockmann Decathlon м видео эльдорадо спортмастер гипермаркет ашан если уставать от шоппинг то можно находить разнообразный еда на большой фуд - корт даже каток тут быть и приличный размер парковка на 2 - х уровень просторный но платный в будни стоимость символический рекомендовать и советовать обращать внимание на колонна - аквариум в центральный атриум очень креативный напротив вход в стокманн
3,"Хороший тц. Много магазинов ресторанов, почти всегда где то скидки. Много парковки рядом есть метро.",5,Хороший тц  Много магазинов ресторанов почти всегда где то скидки  Много парковки рядом есть метро  ,хороший тц много магазин ресторан почти всегда где то скидка много парковка рядом быть метро
4,"Мы были семьей. Нам всем понравилось: и восьмилетней дочери и двадцатичетерехлетней))) есть магазины на любой вкус и кошелек, куча ресторанов, очень приятный интерьер для просто погулять))",1,Мы были семьей  Нам всем понравилось: и восьмилетней дочери и двадцатичетерехлетней есть магазины на любой вкус и кошелек куча ресторанов очень приятный интерьер для просто погулять,мы быть семья мы весь понравиться : и восьмилетний дочь и двадцатичетерехлетний быть магазин на любой вкус и кошелек куча ресторан очень приятный интерьер для просто погулять
5,"Вне всяких сомнений, это один из лучших торговых центров города. Интересное развлечение можно найти и для взрослых, и для детей. Прекрасный выбор магазинов, отличный фуд-корт. ",5,Вне всяких сомнений это один из лучших торговых центров города  Интересное развлечение можно найти и для взрослых и для детей  Прекрасный выбор магазинов отличный фуд-корт  ,вне всякий сомнение это один из хороший торговый центр город интересный развлечение можно находить и для взрослый и для ребенок прекрасный выбор магазин отличный фуд - корт
6,"Он настолько огромен, что дня не хватило. Тут есть всё:магазины одежды, обуви,детские площадки огромные,каток,рестораны, среди них и наш любимый с Кипра &quot;ocean basket &quot;,отличный.Бренды какие хочешь-японские,ирландские, собственно российские  и чего ещё только хочешь. Оформление</span><span>&hellip;",1,Он настолько огромен что дня не хватило  Тут есть всё:магазины одежды обувидетские площадки огромныекатокрестораны среди них и наш любимый с Кипра  ocean basket  отличный  Бренды какие хочешь-японскиеирландские собственно российские  и чего ещё только хочешь ,он настолько огромный что день не хватить тут быть все : магазин одежда обувидетский площадка огромныекатокресторан среди они и наш любимый с кипр ocean basket отличный бренд какой хотеть - японскиеирландский собственно российский и что еще только хотеть
7,Самый интересный и хороший места в Москве.там есть для отдыха все.Чайхана Шурпа на четвертом этаже-очень вкусно готовят и гостеприимный люди.Официант АЗИЗДЖОН  ОЧЕНЬ ХОРОШО ОБСЛУЖИВАЕТ СПАСИБО  ЕМУ,5,Самый интересный и хороший места в Москве  там есть для отдыха все  Чайхана Шурпа на четвертом этаже-очень вкусно готовят и гостеприимный люди  Официант АЗИЗДЖОН  ОЧЕНЬ ХОРОШО ОБСЛУЖИВАЕТ СПАСИБО  ЕМУ,самый интересный и хороший место в москва там быть для отдых весь чайхана шурпа на четвертый этаж - очень вкусно готовить и гостеприимный человек официант азизджон очень хорошо обслуживать спасибо он
8,"Огромный и просторный ТЦ. Можно найти магазины на любой вкус. Очень много детских магазинов. Большая фудкотная зона. Из минусов - всегда угнетает дорога от метро, вроде недалеко, но приходится многое обходить.",5,Огромный и просторный ТЦ  Можно найти магазины на любой вкус  Очень много детских магазинов  Большая фудкотная зона  Из минусов - всегда угнетает дорога от метро вроде недалеко но приходится многое обходить  ,огромный и просторный тц можно находить магазин на любой вкус очень много детский магазин большой фудкотный зона из минус - всегда угнетать дорога от метро вроде недалеко но приходиться многое обходить
9,"Нравится этот ТРЦ, часто проводим здесь время. Есть все и для развлечений и для шоппинга и детей можно развлечь и себя.",5,Нравится этот ТРЦ часто проводим здесь время  Есть все и для развлечений и для шоппинга и детей можно развлечь и себя  ,нравиться этот трц часто проводить здесь время быть все и для развлечение и для шоппинг и ребенок можно развлекать и себя
10,"Большой. удобный торговый центр с хорошей транспортной доступностью как общественным транспортом (метро &quot;ЦСКА&quot;), так и на личном автомобиле. Для семейного отдыха лучшее место в Москве. В ТЦ есть все, для того чтобы занять детей, чтобы им было интересно и они были довольны, и</span><span>&hellip;",5,Большой  удобный торговый центр с хорошей транспортной доступностью как общественным транспортом метро  ЦСКА  так и на личном автомобиле  Для семейного отдыха лучшее место в Москве ,большой удобный торговый центр с хороший транспортный доступность как общественный транспорт метро цска так и на личный автомобиль для семейный отдых хороший место в москва
11,"ТЦ находится в паре минут ходьбы от метро ЦСКА, хорошая, большая парковка, аквариум шикарный, рыбки очень красивые, были на неделе, народа было много, только у фудкорта в обед. Рекомендую к посещению.",5,ТЦ находится в паре минут ходьбы от метро ЦСКА хорошая большая парковка аквариум шикарный рыбки очень красивые были на неделе народа было много только у фудкорта в обед  Рекомендую к посещению  ,тц находиться в пара минута ходьба от метро цска хороший большой парковка аквариум шикарный рыбка очень красивый быть на неделя народ быть много только у фудкорт в обед рекомендовать к посещение
12,"Отличный крупный ТЦ. Идеальный аквариум в центре. От входа метро медленное перемещение внутрь по траволаторам, если это выходной. Почему-то тут можно сразу встретить звезду ютуба и двух тиктокерш, не связанных между собой.",5,Отличный крупный ТЦ  Идеальный аквариум в центре  От входа метро медленное перемещение внутрь по траволаторам если это выходной  Почему-то тут можно сразу встретить звезду ютуба и двух тиктокерш не связанных между собой  ,отличный крупный тц идеальный аквариум в центр от вход метро медленный перемещение внутрь по траволатор если это выходной почему - то тут можно сразу встречать звезда ютуб и два тиктокерш не связывать между себя
13,"Привет! Хочу написать про «Zaманию»  Недавно переехали с ребёнком ( 4 года) в другой район Москвы и открыли для себя этот прекрасный развлекательный центр ! Дочь безумно рада и я вместе с ней :) бегаем , прыгаем на батутах , катаемся на ватрухах ! Очень рады , что здесь такая</span><span>&hellip;",5,Привет  Хочу написать про «Zaманию»  Недавно переехали с ребёнком  4 года в другой район Москвы и открыли для себя этот прекрасный развлекательный центр   Дочь безумно рада и я вместе с ней : бегаем  прыгаем на батутах  катаемся на ватрухах  ,привет хотеть написать про « Zaманию » недавно переезжать с ребенок 4 год в другой район москва и открывать для себя этот прекрасный развлекательный центр дочь безумно рад и я вместе с она : бегать прыгать на батут кататься на ватруха
14,"Красивый ТРЦ, с великолепным аквариумом с экзотическими рыбками. Многообразие брендов. Очень много детских магазинов. Фуд-корты и кафешки. Любимая «Республика». И прочее и прочее. В общем советую.",1,Красивый ТРЦ с великолепным аквариумом с экзотическими рыбками  Многообразие брендов  Очень много детских магазинов  Фуд-корты и кафешки  Любимая «Республика»  И прочее и прочее  В общем советую  ,красивый трц с великолепный аквариум с экзотический рыбка многообразие бренд очень много детский магазин фуд - корт и кафешка любимая « республика » и прочее и прочее в общий советовать
15,"Осень большой торговый центр. Мне больше всего понравилась кидзания для детей, где они мастерство или работают как взрослые. Хороший батутный центр. Маленьким детям тоже есть чем заняться.",5,Осень большой торговый центр  Мне больше всего понравилась кидзания для детей где они мастерство или работают как взрослые  Хороший батутный центр  Маленьким детям тоже есть чем заняться  ,осень большой торговый центр я много все понравиться кидзание для ребенок где они мастерство или работать как взрослый хороший батутный центр маленький ребенок тоже быть чем заниматься
16,"Хорошая парковка, много магазинов. Четыре этажа, очень много различных магазинов на любой вкус. Здесь каждый найдет, то что ему по душе.",5,Хорошая парковка много магазинов  Четыре этажа очень много различных магазинов на любой вкус  Здесь каждый найдет то что ему по душе  ,хороший парковка много магазин четыре этаж очень много различный магазин на любой вкус здесь каждый находить то что он по душа
